img_name,img_path,annotations
000000511076,data/coco2017/subset/000000511076.jpg,"[{'class_id': 16, 'bbox_x': 266.66, 'bbox_y': 262.36, 'bbox_w': 40.65, 'bbox_h': 45.18, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 296.98, 'bbox_y': 242.17, 'bbox_w': 26.96, 'bbox_h': 37.26, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 340.32, 'bbox_y': 227.96, 'bbox_w': 48.73, 'bbox_h': 36.42, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 204.13, 'bbox_y': 250.3, 'bbox_w': 40.42, 'bbox_h': 45.84, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 165.91, 'bbox_y': 263.82, 'bbox_w': 35.97, 'bbox_h': 49.73, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 173.59, 'bbox_y': 248.56, 'bbox_w': 26.1, 'bbox_h': 34.42, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 143.08, 'bbox_y': 147.79, 'bbox_w': 65.91, 'bbox_h': 96.01, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 223.58, 'bbox_y': 85.16, 'bbox_w': 46.43, 'bbox_h': 82.53, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 186.91, 'bbox_y': 88.61, 'bbox_w': 76.39, 'bbox_h': 59.11, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 271.3, 'bbox_y': 198.75, 'bbox_w': 47.68, 'bbox_h': 66.56, 'class_label': 'cat'}, {'class_id': 16, 'bbox_x': 297.3, 'bbox_y': 217.63, 'bbox_w': 22.69, 'bbox_h': 33.26, 'class_label': 'cat'}, {'class_id': 3, 'bbox_x': 179.98, 'bbox_y': 116.14, 'bbox_w': 41.36, 'bbox_h': 35.33, 'class_label': 'motorcycle'}, {'class_id': 1, 'bbox_x': 352.49, 'bbox_y': 72.69, 'bbox_w': 190.1, 'bbox_h': 303.77, 'class_label': 'bicycle'}, {'class_id': 16, 'bbox_x': 132.04, 'bbox_y': 254.3, 'bbox_w': 46.22, 'bbox_h': 45.16, 'class_label': 'cat'}, {'class_id': 15, 'bbox_x': 451.95, 'bbox_y': 252.43, 'bbox_w': 184.23, 'bbox_h': 163.12, 'class_label': 'bird'}, {'class_id': 1, 'bbox_x': 139.6, 'bbox_y': 122.3, 'bbox_w': 10.75, 'bbox_h': 32.52, 'class_label': 'bicycle'}, {'class_id': 16, 'bbox_x': 311.0, 'bbox_y': 279.27, 'bbox_w': 47.66, 'bbox_h': 50.88, 'class_label': 'cat'}, {'class_id': 31, 'bbox_x': 472.56, 'bbox_y': 208.72, 'bbox_w': 101.71, 'bbox_h': 68.44, 'class_label': 'tie'}, {'class_id': 16, 'bbox_x': 55, 'bbox_y': 160, 'bbox_w': 315, 'bbox_h': 204, 'class_label': 'cat'}]"
000000377368,data/coco2017/subset/000000377368.jpg,"[{'class_id': 1, 'bbox_x': 420.33, 'bbox_y': 0.0, 'bbox_w': 217.75, 'bbox_h': 94.25, 'class_label': 'bicycle'}, {'class_id': 61, 'bbox_x': 376.07, 'bbox_y': 146.03, 'bbox_w': 94.04, 'bbox_h': 88.51, 'class_label': 'chair'}, {'class_id': 61, 'bbox_x': 171.86, 'bbox_y': 157.63, 'bbox_w': 259.42, 'bbox_h': 279.95, 'class_label': 'chair'}, {'class_id': 31, 'bbox_x': 336.33, 'bbox_y': 53.8, 'bbox_w': 112.7, 'bbox_h': 87.24, 'class_label': 'tie'}, {'class_id': 47, 'bbox_x': 577.38, 'bbox_y': 31.15, 'bbox_w': 62.37, 'bbox_h': 79.76, 'class_label': 'fork'}, {'class_id': 47, 'bbox_x': 600.04, 'bbox_y': 302.46, 'bbox_w': 39.9, 'bbox_h': 101.39, 'class_label': 'fork'}, {'class_id': 15, 'bbox_x': 59.56, 'bbox_y': 70.73, 'bbox_w': 580.44, 'bbox_h': 410.27, 'class_label': 'bird'}, {'class_id': 67, 'bbox_x': 129.93, 'bbox_y': 68.71, 'bbox_w': 510.07, 'bbox_h': 403.54, 'class_label': None}, {'class_id': 67, 'bbox_x': 59.15, 'bbox_y': 223.28, 'bbox_w': 102.6, 'bbox_h': 136.5, 'class_label': None}]"
000000389451,data/coco2017/subset/000000389451.jpg,"[{'class_id': 9, 'bbox_x': 293.41, 'bbox_y': 135.67, 'bbox_w': 65.66, 'bbox_h': 30.14, 'class_label': 'traffic light'}, {'class_id': 1, 'bbox_x': 340.6, 'bbox_y': 164.04, 'bbox_w': 11.37, 'bbox_h': 20.74, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 113.09, 'bbox_y': 151.18, 'bbox_w': 14.67, 'bbox_h': 23.01, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 319.71, 'bbox_y': 142.24, 'bbox_w': 16.82, 'bbox_h': 16.67, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 355.69, 'bbox_y': 147.05, 'bbox_w': 6.42, 'bbox_h': 6.71, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 380.68, 'bbox_y': 144.24, 'bbox_w': 3.53, 'bbox_h': 4.59, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 310.16, 'bbox_y': 161.75, 'bbox_w': 8.68, 'bbox_h': 18.59, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 365.2, 'bbox_y': 143.17, 'bbox_w': 4.38, 'bbox_h': 5.86, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 559.97, 'bbox_y': 132.88, 'bbox_w': 5.34, 'bbox_h': 5.73, 'class_label': 'bicycle'}, {'class_id': 21, 'bbox_x': 13.13, 'bbox_y': 270.58, 'bbox_w': 74.66, 'bbox_h': 57.16, 'class_label': 'elephant'}, {'class_id': 21, 'bbox_x': 134.77, 'bbox_y': 283.01, 'bbox_w': 93.99, 'bbox_h': 69.07, 'class_label': 'elephant'}, {'class_id': 21, 'bbox_x': 452.36, 'bbox_y': 258.77, 'bbox_w': 83.53, 'bbox_h': 71.44, 'class_label': 'elephant'}, {'class_id': 21, 'bbox_x': 552.04, 'bbox_y': 256.73, 'bbox_w': 67.53, 'bbox_h': 61.1, 'class_label': 'elephant'}, {'class_id': 1, 'bbox_x': 599.67, 'bbox_y': 137.78, 'bbox_w': 5.86, 'bbox_h': 6.41, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 530.91, 'bbox_y': 136.7, 'bbox_w': 14.09, 'bbox_h': 3.85, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 565.27, 'bbox_y': 135.55, 'bbox_w': 6.94, 'bbox_h': 5.5, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 133.12, 'bbox_y': 171.37, 'bbox_w': 5.01, 'bbox_h': 5.5, 'class_label': 'bicycle'}]"
000000463842,data/coco2017/subset/000000463842.jpg,"[{'class_id': 65, 'bbox_x': 73.35, 'bbox_y': 125.57, 'bbox_w': 498.34, 'bbox_h': 144.54, 'class_label': None}, {'class_id': 44, 'bbox_x': 524.91, 'bbox_y': 279.29, 'bbox_w': 23.37, 'bbox_h': 90.78, 'class_label': None}, {'class_id': 44, 'bbox_x': 394.32, 'bbox_y': 277.7, 'bbox_w': 27.01, 'bbox_h': 84.61, 'class_label': None}, {'class_id': 44, 'bbox_x': 356.75, 'bbox_y': 273.39, 'bbox_w': 29.61, 'bbox_h': 80.36, 'class_label': None}, {'class_id': 44, 'bbox_x': 295.38, 'bbox_y': 296.85, 'bbox_w': 20.27, 'bbox_h': 52.18, 'class_label': None}, {'class_id': 44, 'bbox_x': 237.41, 'bbox_y': 255.29, 'bbox_w': 28.72, 'bbox_h': 82.42, 'class_label': None}, {'class_id': 44, 'bbox_x': 222.35, 'bbox_y': 252.54, 'bbox_w': 22.94, 'bbox_h': 80.94, 'class_label': None}, {'class_id': 44, 'bbox_x': 174.68, 'bbox_y': 277.86, 'bbox_w': 16.74, 'bbox_h': 51.57, 'class_label': None}, {'class_id': 44, 'bbox_x': 182.98, 'bbox_y': 245.76, 'bbox_w': 24.09, 'bbox_h': 81.11, 'class_label': None}, {'class_id': 44, 'bbox_x': 47.21, 'bbox_y': 234.52, 'bbox_w': 24.31, 'bbox_h': 79.7, 'class_label': None}, {'class_id': 44, 'bbox_x': 80.83, 'bbox_y': 234.24, 'bbox_w': 26.24, 'bbox_h': 82.46, 'class_label': None}, {'class_id': 44, 'bbox_x': 107.52, 'bbox_y': 234.76, 'bbox_w': 28.38, 'bbox_h': 85.63, 'class_label': None}, {'class_id': 44, 'bbox_x': 415.0, 'bbox_y': 315.63, 'bbox_w': 18.75, 'bbox_h': 60.0, 'class_label': None}, {'class_id': 44, 'bbox_x': 149.82, 'bbox_y': 239.23, 'bbox_w': 23.88, 'bbox_h': 81.94, 'class_label': None}, {'class_id': 44, 'bbox_x': 25, 'bbox_y': 110, 'bbox_w': 550, 'bbox_h': 287, 'class_label': None}]"
000000442480,data/coco2017/subset/000000442480.jpg,"[{'class_id': 5, 'bbox_x': 62.08, 'bbox_y': 170.06, 'bbox_w': 557.75, 'bbox_h': 89.78, 'class_label': 'bus'}, {'class_id': 8, 'bbox_x': 49.08, 'bbox_y': 222.76, 'bbox_w': 92.48, 'bbox_h': 48.77, 'class_label': 'boat'}, {'class_id': 1, 'bbox_x': 256.44, 'bbox_y': 239.65, 'bbox_w': 14.21, 'bbox_h': 28.81, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 304.85, 'bbox_y': 212.77, 'bbox_w': 17.45, 'bbox_h': 36.5, 'class_label': 'bicycle'}]"
000000297562,data/coco2017/subset/000000297562.jpg,"[{'class_id': 62, 'bbox_x': 394.79, 'bbox_y': 306.34, 'bbox_w': 133.75, 'bbox_h': 166.11, 'class_label': 'couch'}, {'class_id': 1, 'bbox_x': 486.44, 'bbox_y': 38.3, 'bbox_w': 75.17, 'bbox_h': 240.54, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 397.41, 'bbox_y': 44.12, 'bbox_w': 67.3, 'bbox_h': 218.57, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 430.92, 'bbox_y': 54.72, 'bbox_w': 32.07, 'bbox_h': 127.27, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 581.44, 'bbox_y': 0.83, 'bbox_w': 58.56, 'bbox_h': 153.95, 'class_label': 'bicycle'}, {'class_id': 87, 'bbox_x': 355.55, 'bbox_y': 212.72, 'bbox_w': 32.0, 'bbox_h': 16.25, 'class_label': 'teddy bear'}, {'class_id': 87, 'bbox_x': 232.25, 'bbox_y': 211.0, 'bbox_w': 157.15, 'bbox_h': 25.01, 'class_label': 'teddy bear'}, {'class_id': 1, 'bbox_x': 519.64, 'bbox_y': 74.27, 'bbox_w': 120.19, 'bbox_h': 341.13, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 222.7, 'bbox_y': 200.54, 'bbox_w': 207.57, 'bbox_h': 279.46, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 422.1, 'bbox_y': 45.81, 'bbox_w': 26.13, 'bbox_h': 47.59, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 228.87, 'bbox_y': 98.09, 'bbox_w': 34.99, 'bbox_h': 96.78, 'class_label': 'bicycle'}, {'class_id': 3, 'bbox_x': 272.37, 'bbox_y': 98.33, 'bbox_w': 29.11, 'bbox_h': 25.26, 'class_label': 'motorcycle'}, {'class_id': 1, 'bbox_x': 17.26, 'bbox_y': 207.1, 'bbox_w': 395.86, 'bbox_h': 272.9, 'class_label': 'bicycle'}, {'class_id': 1, 'bbox_x': 445.06, 'bbox_y': 145.39, 'bbox_w': 36.08, 'bbox_h': 86.98, 'class_label': 'bicycle'}, {'class_id': 62, 'bbox_x': 361.56, 'bbox_y': 184.52, 'bbox_w': 77.3, 'bbox_h': 37.4, 'class_label': 'couch'}]"
000000161781,data/coco2017/subset/000000161781.jpg,"[{'class_id': 1, 'bbox_x': 260.63, 'bbox_y': 20.33, 'bbox_w': 205.63, 'bbox_h': 343.12, 'class_label': 'bicycle'}, {'class_id': 35, 'bbox_x': 144.31, 'bbox_y': 335.28, 'bbox_w': 357.95, 'bbox_h': 47.06, 'class_label': 'snowboard'}]"
000000033638,data/coco2017/subset/000000033638.jpg,"[{'class_id': 1, 'bbox_x': 62.91, 'bbox_y': 243.53, 'bbox_w': 140.01, 'bbox_h': 265.83, 'class_label': 'bicycle'}, {'class_id': 50, 'bbox_x': 366.93, 'bbox_y': 384.67, 'bbox_w': 31.22, 'bbox_h': 24.84, 'class_label': 'bowl'}, {'class_id': 50, 'bbox_x': 176.44, 'bbox_y': 349.97, 'bbox_w': 7.56, 'bbox_h': 6.56, 'class_label': 'bowl'}, {'class_id': 50, 'bbox_x': 345.26, 'bbox_y': 259.98, 'bbox_w': 20.33, 'bbox_h': 68.48, 'class_label': 'bowl'}, {'class_id': 51, 'bbox_x': 243.19, 'bbox_y': 238.9, 'bbox_w': 14.51, 'bbox_h': 9.35, 'class_label': 'banana'}, {'class_id': 79, 'bbox_x': 260.97, 'bbox_y': 413.72, 'bbox_w': 164.03, 'bbox_h': 155.74, 'class_label': 'toaster'}, {'class_id': 79, 'bbox_x': 136.31, 'bbox_y': 374.03, 'bbox_w': 129.66, 'bbox_h': 211.11, 'class_label': 'toaster'}, {'class_id': 51, 'bbox_x': 256.29, 'bbox_y': 241.25, 'bbox_w': 23.54, 'bbox_h': 8.54, 'class_label': 'banana'}]"
000000485071,data/coco2017/subset/000000485071.jpg,"[{'class_id': 1, 'bbox_x': 251.99, 'bbox_y': 177.46, 'bbox_w': 133.02, 'bbox_h': 96.32, 'class_label': 'bicycle'}, {'class_id': 42, 'bbox_x': 171.87, 'bbox_y': 209.7, 'bbox_w': 81.34, 'bbox_h': 54.23, 'class_label': 'tennis racket'}]"
000000108253,data/coco2017/subset/000000108253.jpg,"[{'class_id': 44, 'bbox_x': 242.77, 'bbox_y': 0.0, 'bbox_w': 123.81, 'bbox_h': 319.58, 'class_label': None}, {'class_id': 67, 'bbox_x': 1.44, 'bbox_y': 1.44, 'bbox_w': 478.56, 'bbox_h': 631.37, 'class_label': None}, {'class_id': 47, 'bbox_x': 0.9, 'bbox_y': 0.36, 'bbox_w': 81.95, 'bbox_h': 117.13, 'class_label': 'fork'}, {'class_id': 48, 'bbox_x': 188.06, 'bbox_y': 240.49, 'bbox_w': 25.67, 'bbox_h': 14.48, 'class_label': 'knife'}, {'class_id': 59, 'bbox_x': 122.44, 'bbox_y': 354.91, 'bbox_w': 357.56, 'bbox_h': 245.12, 'class_label': 'donut'}, {'class_id': 59, 'bbox_x': 110.55, 'bbox_y': 270.43, 'bbox_w': 145.57, 'bbox_h': 70.14, 'class_label': 'donut'}, {'class_id': 50, 'bbox_x': 471.93, 'bbox_y': 239.2, 'bbox_w': 8.07, 'bbox_h': 9.16, 'class_label': 'bowl'}, {'class_id': 59, 'bbox_x': 0.98, 'bbox_y': 363.98, 'bbox_w': 131.76, 'bbox_h': 31.5, 'class_label': 'donut'}, {'class_id': 59, 'bbox_x': 189.0, 'bbox_y': 295.36, 'bbox_w': 71.12, 'bbox_h': 59.42, 'class_label': 'donut'}, {'class_id': 1, 'bbox_x': 0.0, 'bbox_y': 33.22, 'bbox_w': 159.89, 'bbox_h': 285.64, 'class_label': 'bicycle'}, {'class_id': 49, 'bbox_x': 16.62, 'bbox_y': 304.21, 'bbox_w': 111.38, 'bbox_h': 14.96, 'class_label': 'spoon'}, {'class_id': 44, 'bbox_x': 420.12, 'bbox_y': 241.38, 'bbox_w': 59.88, 'bbox_h': 101.44, 'class_label': None}, {'class_id': 59, 'bbox_x': 114.31, 'bbox_y': 270.66, 'bbox_w': 102.41, 'bbox_h': 49.33, 'class_label': 'donut'}]"
